1fc0047c:   35 08 ce 96         ORI $t0, $t0, 0xce96
1fc00480:   34 09 94 00         ORI $t1, $zero, 0x9400
1fc00484:   21 10 94 00         ADDI $s0, $t0, 0x9400
1fc00488:   3c 12 24 fd         LUI $s2, 0x24fd
1fc0048c:   36 52 62 96         ORI $s2, $s2, 0x6296
1fc00490:   16 12 07 e4         BNE $s2, 0x07e4
1fc00494:   00 00 00 00         NOP
1fc00498:   3c 08 41 5d         LUI $t0, 0x415d
1fc0049c:   35 08 68 a0         ORI $t0, $t0, 0x68a0
1fc004a0:   24 09 6b 44         ADDIU $t1, $zero, 0x6b44
1fc004a4:   21 10 6b 44         ADDI $s0, $t0, 0x6b44
1fc004a8:   3c 12 41 5d         LUI $s2, 0x415d
1fc004ac:   36 52 d3 e4         ORI $s2, $s2, 0xd3e4
1fc004b0:   16 12 07 dc         BNE $s2, 0x07dc
1fc004b4:   00 00 00 00         NOP
1fc004b8:   3c 08 d3 9b         LUI $t0, 0xd39b
1fc004bc:   35 08 90 a4         ORI $t0, $t0, 0x90a4
1fc004c0:   34 09 ec 14         ORI $t1, $zero, 0xec14
1fc004c4:   21 10 ec 14         ADDI $s0, $t0, 0xec14
1fc004c8:   3c 12 d3 9b         LUI $s2, 0xd39b
1fc004cc:   36 52 7c b8         ORI $s2, $s2, 0x7cb8
1fc004d0:   16 12 07 d4         BNE $s2, 0x07d4
1fc004d4:   00 00 00 00         NOP
1fc004d8:   3c 08 c0 57         LUI $t0, 0xc057
1fc004dc:   35 08 76 1c         ORI $t0, $t0, 0x761c
1fc004e0:   34 09 f3 ea         ORI $t1, $zero, 0xf3ea
1fc004e4:   21 10 f3 ea         ADDI $s0, $t0, 0xf3ea
1fc004e8:   3c 12 c0 57         LUI $s2, 0xc057
1fc004ec:   36 52 6a 06         ORI $s2, $s2, 0x6a06
1fc004f0:   16 12 07 cc         BNE $s2, 0x07cc
1fc004f4:   00 00 00 00         NOP
1fc004f8:   3c 08 1d d7         LUI $t0, 0x1dd7
1fc004fc:   35 08 9b 95         ORI $t0, $t0, 0x9b95
